row,Law,Income,Age,Premium,Credit,Net
1,Current,"Annual Income: $26,500 (175% of Federal Poverty Line)",21 years old,"5,100","3,400","1,700"
2,Current,"Annual Income: $26,500 (175% of Federal Poverty Line)",40 years old,"6,500","4,800","1,700"
3,Current,"Annual Income: $26,500 (175% of Federal Poverty Line)",64 years old,"15,300","13,600","1,700"
4,AHCA,"Annual Income: $26,500 (175% of Federal Poverty Line)",21 years old,"3,900","2,450","1,450"
5,AHCA,"Annual Income: $26,500 (175% of Federal Poverty Line)",40 years old,"6,050","3,650","2,400"
6,AHCA,"Annual Income: $26,500 (175% of Federal Poverty Line)",64 years old,"19,500","4,900","14,600"
7,Current,"Annual Income: $68,200 (450% of Federal Poverty Line)",21 years old,"5,100",0,"5,100"
8,Current,"Annual Income: $68,200 (450% of Federal Poverty Line)",40 years old,"6,500",0,"6,500"
9,Current,"Annual Income: $68,200 (450% of Federal Poverty Line)",64 years old,"15,300",0,"15,300"
10,AHCA,"Annual Income: $68,200 (450% of Federal Poverty Line)",21 years old,"3,900","2,450","1,450"
11,AHCA,"Annual Income: $68,200 (450% of Federal Poverty Line)",40 years old,"6,050","3,650","2,400"
12,AHCA,"Annual Income: $68,200 (450% of Federal Poverty Line)",64 years old,"19,500","4,900","14,600"
